peer,KPI,sort,Product,Hierarchy1,average,Value,Rank,last,group,Code
Planning-Focused Products,Project Length,4,Jedox,,4.570552239,5.658823529,7,,2,
Planning-Focused Products,Project Length,4,LucaNet,,4.570552239,10,1,,2,
Planning-Focused Products,Project Length,4,macs Software,,4.570552239,6.294117647,4,,2,
Planning-Focused Products,Project Length,4,OneStream,,4.570552239,1,18,,2,
Planning-Focused Products,Project Length,4,Oracle Cloud EPM,,4.570552239,2.694117647,15,,2,
Planning-Focused Products,Project Length,4,Planful,,4.570552239,4.080213904,11,,2,
Planning-Focused Products,Project Length,4,Prophix,,4.570552239,8.260504202,2,,2,
Planning-Focused Products,Project Length,4,SAP Analytics Cloud,,4.570552239,4.505070994,9,,2,
Planning-Focused Products,Project Length,4,SAP BPC,,4.570552239,2.026737968,17,,2,
Planning-Focused Products,Project Length,4,Serviceware Perf.,,4.570552239,3.420168067,13,,2,
Planning-Focused Products,Project Length,4,Unit4 FP&A,,4.570552239,2.882352941,14,,2,
Planning-Focused Products,Project Length,4,Valsight,,4.570552239,8.187165775,3,,2,
Planning-Focused Products,Project Length,4,Workday Adapt. Plan.,,4.570552239,5.840336134,5,,2,
Planning-Focused Products,Customer Satisfaction,5,Anaplan,,6.844441038,7.620444066,8,,1,
Planning-Focused Products,Customer Satisfaction,5,Board,,6.844441038,6.564795528,13,,1,
Planning-Focused Products,Customer Satisfaction,5,CCH Tagetik,,6.844441038,7.924813688,6,,1,
Planning-Focused Products,Customer Satisfaction,5,CoPlanner,,6.844441038,7.039957463,10,,1,
Planning-Focused Products,Customer Satisfaction,5,Corporate Planning,,6.844441038,6.070775288,14,,1,
Planning-Focused Products,Customer Satisfaction,5,IBM Plan. Analytics,,6.844441038,6.034361199,15,,1,
Planning-Focused Products,Customer Satisfaction,5,Jedox,,6.844441038,6.953310647,11,,1,
Planning-Focused Products,Customer Satisfaction,5,LucaNet,,6.844441038,8.103897724,4,,1,
Planning-Focused Products,Customer Satisfaction,5,macs Software,,6.844441038,9.664894894,1,,1,
Planning-Focused Products,Customer Satisfaction,5,OneStream,,6.844441038,8.742242464,3,,1,
Planning-Focused Products,Customer Satisfaction,5,Oracle Cloud EPM,,6.844441038,5.918889378,16,,1,
Planning-Focused Products,Customer Satisfaction,5,Planful,,6.844441038,7.931571094,5,,1,
Planning-Focused Products,Customer Satisfaction,5,Prophix,,6.844441038,7.583346672,9,,1,
Planning-Focused Products,Customer Satisfaction,5,SAP Analytics Cloud,,6.844441038,4.200401682,18,,1,
Planning-Focused Products,Customer Satisfaction,5,SAP BPC,,6.844441038,1.009565455,19,,1,
Planning-Focused Products,Customer Satisfaction,5,Serviceware Perf.,,6.844441038,7.792090488,7,,1,
Planning-Focused Products,Customer Satisfaction,5,Unit4 FP&A,,6.844441038,5.22078572,17,,1,
Planning-Focused Products,Customer Satisfaction,5,Valsight,,6.844441038,8.918413843,2,,1,
Planning-Focused Products,Customer Satisfaction,5,Workday Adapt. Plan.,,6.844441038,6.749822434,12,,1,
Planning-Focused Products,Price to Value,6,Anaplan,,7.641269515,6.306695464,18,,2,
Planning-Focused Products,Price to Value,6,Board,,7.641269515,7.115334773,13,,2,
Planning-Focused Products,Price to Value,6,CCH Tagetik,,7.641269515,9.114470842,5,,2,
Planning-Focused Products,Price to Value,6,CoPlanner,,7.641269515,9.411292811,2,,2,
Planning-Focused Products,Price to Value,6,Corporate Planning,,7.641269515,7.203372117,12,,2,
Planning-Focused Products,Price to Value,6,IBM Plan. Analytics,,7.641269515,7.552398625,11,,2,
Planning-Focused Products,Price to Value,6,Jedox,,7.641269515,8.246019388,8,,2,
Planning-Focused Products,Price to Value,6,LucaNet,,7.641269515,8.833693305,6,,2,
Planning-Focused Products,Price to Value,6,macs Software,,7.641269515,10,1,,2,
Planning-Focused Products,Price to Value,6,OneStream,,7.641269515,8.833693305,6,,2,
Planning-Focused Products,Price to Value,6,Oracle Cloud EPM,,7.641269515,6.742384747,16,,2,
Planning-Focused Products,Price to Value,6,Planful,,7.641269515,7.94924406,10,,2,
Planning-Focused Products,Price to Value,6,Prophix,,7.641269515,8.136590452,9,,2,
Planning-Focused Products,Price to Value,6,SAP Analytics Cloud,,7.641269515,6.780507559,15,,2,
Planning-Focused Products,Price to Value,6,SAP BPC,,7.641269515,1,19,,2,
Planning-Focused Products,Price to Value,6,Serviceware Perf.,,7.641269515,9.17062635,4,,2,
Planning-Focused Products,Price to Value,6,Unit4 FP&A,,7.641269515,6.833153348,14,,2,
Planning-Focused Products,Price to Value,6,Valsight,,7.641269515,9.254859611,3,,2,
Planning-Focused Products,Price to Value,6,Workday Adapt. Plan.,,7.641269515,6.699784017,17,,2,
